id,username,passwordHash,email,gender,role,designationId,phoneNumber,createdAt,updatedAt
1,anthony88,$2b$10$5CSIsi9s3ldiXwl6U0gH0uHM0uqQrdne0XW1CzfALWkmEnaKeds8.,anthony88@shcrew.com,Male,admin,5,+1-622-936-3966,1990-08-22 05:33:14,1971-09-17 15:29:41
2,raymondchandler,$2b$10$xeg1Pg..3Hjzppa3xKuLwufEjZWqPrcB0fa.y00U33JNWK1/tKgL2,raymondchandler@shcrew.com,Female,employee,8,001-295-395-2724x00667,1986-07-22 00:39:27,2008-09-24 04:21:12
3,egray,$2b$10$50NOu8yI195ygwmg6lF51OrLhbtCk/K3cwSGfxgVYDOaP8KgRLJAm,egray@shcrew.com,Female,admin,2,001-574-980-5368x249,2022-06-18 08:19:42,1973-05-18 09:18:14
4,herreradonald,$2b$10$yJX4gJuoddv/zMJu.V2XOupKFkCATz6SqZX77q6McRiSJ/UeoMz8C,herreradonald@shcrew.com,Female,employee,2,677.910.1024,1992-02-13 03:07:35,1988-12-24 06:45:09
5,staylor,$2b$10$7tefnX1FJ4KACZPfPbmv7.mVfvEvZ5txPFCct2j9LXOoEaNm/mE62,staylor@shcrew.com,Female,employee,1,(703)567-4848x7829,1971-03-04 09:15:54,2009-05-17 04:52:53
6,scottdominguez,$2b$10$FniaJeVkCHt7KmYzVgPJeeWChcZNPr/EjWlFSGWltXMWtKg20D9oq,scottdominguez@shcrew.com,Female,admin,5,4572095156,2005-12-18 23:21:47,1980-03-20 20:32:17
7,churchdwayne,$2b$10$Dz3DKfUJzueX.vBHOSOzXutq8IL7ozkA2wZMLVapj6rgy3XHGWj6u,churchdwayne@shcrew.com,Others,admin,2,851.825.7445x74501,2003-07-24 17:31:58,1984-10-11 14:09:41
8,richardsdarrell,$2b$10$/4BediDYahXJiDBxugIcUeWmDfXd/j2ZvL9e/SqLyLcPwSDwptZai,richardsdarrell@shcrew.com,Female,employee,3,(519)404-9653x91176,2012-07-10 07:55:43,1972-11-06 19:32:17
9,smithtony,$2b$10$nqv6ou0w54Jen8FI89kxtuba8RvOa1q/pzFECS8LN2sg3jL8hKcOK,smithtony@shcrew.com,Female,admin,1,(261)958-2664x747,1979-06-04 15:54:36,2006-09-05 05:43:41
10,uwinters,$2b$10$wxhD/bPsKEWu/myR0OhG.OL1cREiFny2om/KZAetQOMg5E0mLKj9.,uwinters@shcrew.com,Others,admin,5,(669)878-9105x1832,2004-09-14 13:42:56,1974-09-24 00:43:44
11,bhernandez,$2b$10$Vu01tjzL4bRzZOWL0y2L..BmdhkZ9JpC4rdCulhyzdXDbRNDUZoUy,bhernandez@shcrew.com,Female,admin,2,815-657-5263,1977-11-24 19:59:52,1974-09-21 08:14:31
12,rdavis,$2b$10$CjLO67QNY9aAKL.9Z6oQBeY2QgfgP6ltILIqjZccszgiIqPV.FNFC,rdavis@shcrew.com,Male,admin,1,366.246.7129x975,1986-01-03 01:45:27,1978-04-19 03:21:51
13,carolinecross,$2b$10$QdwymUq19F9TGArdozX33uMPgb3IYCrJMzPidepuu2J7IL5fzzB7O,carolinecross@shcrew.com,Female,admin,8,001-947-229-7374x9492,1979-07-01 10:01:28,1999-05-16 14:09:19
14,mrobertson,$2b$10$UXviiyTV/hjlfyMIMiGILeIb8p3ySkmnK1dFbelMYTvpXYiXDKQbi,mrobertson@shcrew.com,Female,admin,2,6416227657,1980-11-02 08:17:30,2019-01-22 09:20:13
15,andrewclark,$2b$10$E4bwMQotkFv6NhcRCpEBueApcrb9XfefQjJqaaWg0w8AQY/srPhpO,andrewclark@shcrew.com,Others,employee,4,360.340.1447x186,1993-05-28 07:58:21,1973-01-21 19:26:30
16,jennifer48,$2b$10$Aljcx8ZulDKoocVlGFQCAOrDYkO8yDgkb5bQP8PLyM2.aSQpRYJAa,jennifer48@shcrew.com,Male,employee,3,438-637-6376x5779,1971-10-06 22:38:57,2002-10-01 18:00:52
17,xjohnson,$2b$10$nY/5bmsO78x4GHbi0dVe0u3UwDvFoQvRTs4DWB3yeYDWYIJ2.p2jG,xjohnson@shcrew.com,Others,employee,7,001-855-243-9942x64560,1975-07-20 20:48:21,2003-02-07 13:57:56
18,michaela00,$2b$10$KwE2oUmRx7nkvzTWNoOAUeCNW4dePz2/fy4IvYt50XElE7rmzng.O,michaela00@shcrew.com,Others,employee,1,+1-531-410-1143x53354,1981-05-12 18:01:06,2022-10-15 20:59:31
