id,username,designationId,name,skillId,name_skill,fulfillmentStatus
2,Allison Chan,5,IT Specialist,20,Network Architecture,Not Fulfilled
2,Allison Chan,5,IT Specialist,150,SQF,Not Fulfilled
2,Allison Chan,5,IT Specialist,78,SRDS,Not Fulfilled
2,Allison Chan,5,IT Specialist,16,System Testing,Not Fulfilled
2,Allison Chan,5,IT Specialist,146,Service Delivery,Not Fulfilled
2,Allison Chan,5,IT Specialist,153,Portfolio Management,Not Fulfilled
2,Allison Chan,5,IT Specialist,185,ELISA,Not Fulfilled
3,Scott Flores,7,Project Manager,35,Karaoke,Not Fulfilled
3,Scott Flores,7,Project Manager,164,SMO,Not Fulfilled
3,Scott Flores,7,Project Manager,186,Educational Leadership,Not Fulfilled
3,Scott Flores,7,Project Manager,43,Tax Accounting,Not Fulfilled
3,Scott Flores,7,Project Manager,22,PCRF,Not Fulfilled
3,Scott Flores,7,Project Manager,190,VT,Not Fulfilled
3,Scott Flores,7,Project Manager,1,Leadership,Not Fulfilled
3,Scott Flores,7,Project Manager,27,WTP,Not Fulfilled
4,Frank Trujillo,7,Project Manager,35,Karaoke,Not Fulfilled
4,Frank Trujillo,7,Project Manager,164,SMO,Not Fulfilled
4,Frank Trujillo,7,Project Manager,186,Educational Leadership,Not Fulfilled
4,Frank Trujillo,7,Project Manager,43,Tax Accounting,Not Fulfilled
4,Frank Trujillo,7,Project Manager,22,PCRF,Not Fulfilled
4,Frank Trujillo,7,Project Manager,190,VT,Not Fulfilled
4,Frank Trujillo,7,Project Manager,1,Leadership,Not Fulfilled
4,Frank Trujillo,7,Project Manager,27,WTP,Not Fulfilled
5,Dana Gonzalez,5,IT Specialist,20,Network Architecture,Not Fulfilled
5,Dana Gonzalez,5,IT Specialist,150,SQF,Not Fulfilled
5,Dana Gonzalez,5,IT Specialist,78,SRDS,Not Fulfilled
5,Dana Gonzalez,5,IT Specialist,16,System Testing,Not Fulfilled
5,Dana Gonzalez,5,IT Specialist,146,Service Delivery,Not Fulfilled
5,Dana Gonzalez,5,IT Specialist,153,Portfolio Management,Not Fulfilled
5,Dana Gonzalez,5,IT Specialist,185,ELISA,Not Fulfilled
6,Scott Holt,5,IT Specialist,20,Network Architecture,Not Fulfilled
6,Scott Holt,5,IT Specialist,150,SQF,Not Fulfilled
6,Scott Holt,5,IT Specialist,78,SRDS,Not Fulfilled
6,Scott Holt,5,IT Specialist,16,System Testing,Not Fulfilled
6,Scott Holt,5,IT Specialist,146,Service Delivery,Not Fulfilled
6,Scott Holt,5,IT Specialist,153,Portfolio Management,Not Fulfilled
6,Scott Holt,5,IT Specialist,185,ELISA,Not Fulfilled
7,Brian Nichols,4,Sales Executive,79,HCS12,Not Fulfilled
7,Brian Nichols,4,Sales Executive,176,SAP MDM,Not Fulfilled
7,Brian Nichols,4,Sales Executive,152,HR Policy Formulation,Not Fulfilled
7,Brian Nichols,4,Sales Executive,9,Dynamic Speaker,Not Fulfilled
7,Brian Nichols,4,Sales Executive,63,IT Service Management,Not Fulfilled
7,Brian Nichols,4,Sales Executive,184,MRI Plus,Not Fulfilled
8,Kevin Butler,5,IT Specialist,20,Network Architecture,Not Fulfilled
8,Kevin Butler,5,IT Specialist,150,SQF,Not Fulfilled
8,Kevin Butler,5,IT Specialist,78,SRDS,Not Fulfilled
8,Kevin Butler,5,IT Specialist,16,System Testing,Not Fulfilled
8,Kevin Butler,5,IT Specialist,146,Service Delivery,Not Fulfilled
8,Kevin Butler,5,IT Specialist,153,Portfolio Management,Not Fulfilled
8,Kevin Butler,5,IT Specialist,185,ELISA,Not Fulfilled
9,Travis Adams,3,HR,164,SMO,Not Fulfilled
10,Morgan Ochoa,6,Customer Support,161,DVB-C,Not Fulfilled
10,Morgan Ochoa,6,Customer Support,131,Dance,Not Fulfilled
10,Morgan Ochoa,6,Customer Support,6,Radio,Not Fulfilled
10,Morgan Ochoa,6,Customer Support,192,GCF,Not Fulfilled
11,Manuel Contreras,5,IT Specialist,20,Network Architecture,Not Fulfilled
11,Manuel Contreras,5,IT Specialist,150,SQF,Not Fulfilled
11,Manuel Contreras,5,IT Specialist,78,SRDS,Not Fulfilled
11,Manuel Contreras,5,IT Specialist,16,System Testing,Not Fulfilled
11,Manuel Contreras,5,IT Specialist,146,Service Delivery,Not Fulfilled
11,Manuel Contreras,5,IT Specialist,153,Portfolio Management,Not Fulfilled
11,Manuel Contreras,5,IT Specialist,185,ELISA,Not Fulfilled
12,Lee Edwards,8,Financial Analyst,90,Computer Graphics,Not Fulfilled
12,Lee Edwards,8,Financial Analyst,187,Clarity FSR,Not Fulfilled
