id,username,passwordHash,email,gender,role,designationId,phoneNumber,createdAt,updatedAt
1,Lara,$2b$10$hGF62vIw6j8m8NIOtRted.DDShFPb2Q84o2jWRaVeXKuNX9lyZn5q,lara@g.co,Female,admin,,9874563210,2023-12-08 21:08:35,2024-01-31 15:16:11
2,Allison Chan,$2b$10$qDNgjVUznyUnx.v98nJ.KOU36Zi1jfwiWQXXIILftDazQxNZa3/ZG,rachelgarcia1@mgcrew.com,Female,employee,5.0,6004140515,2023-06-14 19:04:33,2023-11-01 04:39:29
3,Scott Flores,$2b$10$ljXs/iw2aFkVjPCcYjEe4ep0MfPLUtxb8ZEWJmwquR8Mya6DeJiiO,morganmorris2@mgcrew.com,Male,employee,7.0,472-937-6147x9326,2023-03-25 18:14:50,2023-06-25 00:15:11
4,Frank Trujillo,$2b$10$G.6c8vUS/WWTP2L.F7bhaeOoufemOGXiA9tjaFztnlxVC4JaV6X0q,castillodavid3@mgcrew.com,Others,employee,7.0,386-885-9354x41179,2022-10-14 09:55:19,2023-04-28 17:56:21
5,Dana Gonzalez,$2b$10$dAsGKdquEEktWKYnuVhjwO3vz2O6rlCA79.oUAI5/VEz6UctHlpue,perezjoseph4@mgcrew.com,Others,employee,5.0,001-938-348-0415x940,2022-06-27 08:07:37,2022-08-23 06:22:07
6,Scott Holt,$2b$10$YxPtC/wwZTxPHjRjg2e4PeiJRkt7yRgQ/Sk212ArqwLL1vJPNnNAy,salasbrian5@mgcrew.com,Male,employee,5.0,001-537-670-1471x722,2023-02-03 17:27:47,2023-10-30 15:29:25
7,Brian Nichols,$2b$10$yR3nsiEffDD9KgBqrIPkA.uKg1XcXgbyw1a69IsnmESad1IR9LQhi,christianbowers6@mgcrew.com,Male,employee,4.0,+1-354-659-1863,2023-03-07 01:20:08,2023-12-01 06:06:51
8,Kevin Butler,$2b$10$jJUje5KUz8xO5bsRww4V1uTD649t0YVM4fYatxZTL2haN724uJJLq,ucolon7@mgcrew.com,Male,employee,5.0,001-833-865-7855,2023-11-10 22:58:49,2024-05-13 13:47:13
9,Travis Adams,$2b$10$NvXz/f.HKXsW8XKgJDnqre4grxgHslYgGgg4si2eC44GX05U6MwhS,tracey848@mgcrew.com,Others,employee,3.0,748.570.2742,2022-04-30 23:25:07,2024-08-08 09:10:52
10,Morgan Ochoa,$2b$10$mpbdcipXPbN31uwN9LpwtuUkzyJTtbCeycL3JLV3IqfG5FCWm8wUC,smithmorgan9@mgcrew.com,Others,employee,6.0,847.712.5719x41036,2024-09-07 22:33:55,2024-09-20 09:38:54
