id,username,email,role,designationId,createdAt,updatedAt
2,Allison Chan,rachelgarcia1@mgcrew.com,employee,5.0,2023-06-14 19:04:33,2023-11-01 04:39:29
3,Scott Flores,morganmorris2@mgcrew.com,employee,7.0,2023-03-25 18:14:50,2023-06-25 00:15:11
4,Frank Trujillo,castillodavid3@mgcrew.com,employee,7.0,2022-10-14 09:55:19,2023-04-28 17:56:21
5,Dana Gonzalez,perezjoseph4@mgcrew.com,employee,5.0,2022-06-27 08:07:37,2022-08-23 06:22:07
6,Scott Holt,salasbrian5@mgcrew.com,employee,5.0,2023-02-03 17:27:47,2023-10-30 15:29:25
7,Brian Nichols,christianbowers6@mgcrew.com,employee,4.0,2023-03-07 01:20:08,2023-12-01 06:06:51
8,Kevin Butler,ucolon7@mgcrew.com,employee,5.0,2023-11-10 22:58:49,2024-05-13 13:47:13
9,Travis Adams,tracey848@mgcrew.com,employee,3.0,2022-04-30 23:25:07,2024-08-08 09:10:52
10,Morgan Ochoa,smithmorgan9@mgcrew.com,employee,6.0,2024-09-07 22:33:55,2024-09-20 09:38:54
11,Manuel Contreras,denisecervantes10@mgcrew.com,employee,5.0,2022-09-22 11:12:11,2023-02-13 14:38:17
12,Lee Edwards,kristinnguyen11@mgcrew.com,employee,8.0,2024-04-20 10:45:16,2024-08-14 04:54:51
13,Kathryn Casey,trivera12@mgcrew.com,employee,7.0,2023-10-06 00:43:43,2023-12-28 20:15:32
14,Jason Bowen,dyerpamela13@mgcrew.com,employee,6.0,2022-11-30 16:01:56,2023-04-12 21:44:49
15,Abigail Brown,qmclaughlin14@mgcrew.com,employee,1.0,2023-11-03 06:40:18,2024-05-14 03:04:53
16,Gregory Mcdonald,karihampton15@mgcrew.com,employee,8.0,2023-10-20 17:59:13,2024-02-07 12:38:04
17,Wendy Cole,gcohen16@mgcrew.com,employee,5.0,2023-11-14 12:14:48,2024-04-22 02:18:02
18,Susan Jackson,harrismichele17@mgcrew.com,employee,5.0,2024-06-04 09:12:34,2024-08-23 20:08:16
19,Christopher Johnson,christinereyes18@mgcrew.com,employee,4.0,2024-04-25 15:11:50,2024-08-06 11:52:20
20,Abigail Savage,dmueller19@mgcrew.com,employee,5.0,2022-08-06 19:03:01,2024-09-04 07:05:22
21,Dawn Cook,brianhale20@mgcrew.com,employee,7.0,2024-05-15 05:49:17,2024-07-08 01:22:33
22,Jessica Howard,brandonpacheco21@mgcrew.com,employee,3.0,2023-08-24 17:08:52,2024-08-30 16:50:48
23,Tyler Palmer,charles5522@mgcrew.com,employee,5.0,2024-08-19 19:38:51,2024-09-03 19:05:33
24,Lacey Cochran,williamlee23@mgcrew.com,employee,4.0,2024-06-11 05:18:52,2024-08-15 16:51:10
25,Zachary Green,patriciajohnson24@mgcrew.com,employee,2.0,2023-10-28 06:19:33,2024-04-30 09:23:58
26,Rebecca Brown,jackiewelch25@mgcrew.com,employee,6.0,2023-11-02 07:43:13,2023-11-21 05:05:25
27,David Watson,rodriguezjoseph26@mgcrew.com,employee,7.0,2023-08-12 12:28:44,2024-09-04 20:56:53
28,Tyler Reilly,scurtis27@mgcrew.com,employee,4.0,2023-03-22 06:39:27,2024-06-29 13:56:21
29,Katie Gates,hernandezallison28@mgcrew.com,employee,3.0,2024-08-07 07:42:13,2024-10-03 12:04:35
30,Vincent Horton,iwall29@mgcrew.com,employee,3.0,2022-07-21 06:42:49,2023-05-02 14:07:35
31,Ryan Marshall,rodneywood30@mgcrew.com,employee,8.0,2024-01-24 08:52:23,2024-04-19 16:52:25
32,Lawrence Gordon,krausediana31@mgcrew.com,employee,1.0,2022-09-26 16:26:26,2022-12-27 20:00:53
33,Julie Jarvis,juangregory32@mgcrew.com,employee,7.0,2024-07-26 02:39:56,2024-09-02 10:32:12
34,Patrick Santos,rossaaron33@mgcrew.com,employee,7.0,2022-07-24 13:37:28,2023-04-06 05:30:09
35,Cynthia Cabrera,brian6734@mgcrew.com,employee,3.0,2022-11-08 21:34:14,2023-01-28 02:46:43
36,Sean Campbell,wrightmelissa35@mgcrew.com,employee,7.0,2022-11-24 05:20:08,2024-03-27 02:48:03
37,Angelica Little,adamslinda36@mgcrew.com,employee,5.0,2024-06-22 20:20:45,2024-08-05 01:17:53
38,Jennifer Estrada,brandi3737@mgcrew.com,employee,2.0,2022-09-28 11:05:08,2024-07-05 20:13:24
39,Gregory Mason,robert2738@mgcrew.com,employee,2.0,2024-06-28 07:35:21,2024-07-22 08:29:34
40,Sandra Clark,lnichols39@mgcrew.com,employee,2.0,2023-09-20 11:37:59,2023-11-28 23:13:20
41,Lydia Kemp,chelseagarrison40@mgcrew.com,employee,3.0,2024-09-13 22:31:05,2024-10-03 18:45:27
42,Allen Lambert,tpatel41@mgcrew.com,employee,4.0,2023-07-29 20:52:16,2023-11-09 04:33:43
43,Maria Smith,elizabethcohen42@mgcrew.com,employee,6.0,2024-02-15 20:41:55,2024-02-18 16:40:36
44,Pamela King,rcarroll43@mgcrew.com,employee,3.0,2024-08-03 05:15:08,2024-09-28 07:09:51
45,Justin West,linda7244@mgcrew.com,employee,3.0,2023-07-07 01:51:01,2023-09-27 10:59:47
46,Bradley Hines,jvelazquez45@mgcrew.com,employee,4.0,2022-07-05 02:45:09,2022-12-02 13:19:24
